CropType,Image Url
Cassava,https://drive.google.com/thumbnail?id=1km83bvoMPYTqShAIzSpTW4OPjhs5qHcK&sz=w1000
Rice,https://drive.google.com/thumbnail?id=1zKWLj5GrVL-8U4woDKuPRlflvRJlXP2l&sz=w1000
Onion,https://drive.google.com/thumbnail?id=1mk0p48tpKoBOWTql-tVdnGoX051HV8Zt&sz=w1000
Pepper,https://drive.google.com/thumbnail?id=1wiDp5Nu8SPCnzBmngsZ2aHREKdpzGflF&sz=w1000
Tomato,https://drive.google.com/thumbnail?id=16S7Sh7BB6E-7uq-4LdGv4Y2BR6qnBVCx&sz=w1000
Plantain,https://drive.google.com/thumbnail?id=12UlGGl6a2Rtv03_vGLJTuA5BDbOkiAtR&sz=w1000
Maize,https://drive.google.com/thumbnail?id=1qS6PAb4vEfK8Yfvpr7Xi6C7XQE2mBFme&sz=w1000
Yam,https://drive.google.com/thumbnail?id=10RIjZU6q5zMV1hICJmyg6_h34jryJvDN&sz=w1000
